id,gold,gold_cmp,pred,correct,success,execution_success,attempts,elapsed_s,vote_agreement,vote_tied,sandbox_failures,sandbox_timeouts,difficulty,source
demo_01,2,2,2,True,True,True,2,32.548,1.0,False,0,0,easy,original-demo
demo_02,820,820,820,True,True,True,3,76.397,0.6667,False,0,0,easy,original-demo
demo_03,24,24,24,True,True,True,3,112.49,1.0,False,1,0,easy,original-demo
demo_04,807,807,807,True,True,True,2,46.818,1.0,False,0,0,medium,original-demo
demo_05,56,56,56,True,True,True,2,62.578,1.0,False,0,0,medium,original-demo
demo_06,7,7,7,True,True,True,2,65.238,1.0,False,0,0,medium,original-demo
demo_07,21,21,21,True,True,True,2,26.702,1.0,False,0,0,medium,original-demo
demo_08,40,40,40,True,True,True,5,202.128,1.0,False,4,0,medium,original-demo
demo_09,385,385,385,True,True,True,2,34.795,1.0,False,0,0,medium,original-demo
demo_10,24,24,0,False,False,False,8,180.18,0.0,False,8,0,medium,original-demo
